LMFA01030749	-	5,14,15-trihydroxy-6,8,10,12-Eicosatetraenoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Unsaturated fatty acids [FA0103]
LMFA03100025	12-epi-12-iso-LGD2	(5S,9R)-6,7-seco-6,8-dioxo-12R-hydroxy-10E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100026	ent-12-epi-12-iso-LGD2	(5R,9S)-6,7-seco-6,8-dioxo-12S-hydroxy-10E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100027	ent-12-iso-LGD2	(5R,9S)-6,7-seco-6,8-dioxo-12R-hydroxy-10E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100028	12-iso-LGD2	(5S,9R)-6,7-seco-6,8-dioxo-12S-hydroxy-10E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100029	8-epi-8-iso-LGD2	(11S,15R)-12,13-seco-12,14-dioxo-8R-hydroxy-5Z,9E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100030	ent-8-epi-8-iso-LGD2	(11R,15S)-12,13-seco-12,14-dioxo-8S-hydroxy-5Z,9E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100031	ent-8-iso-LGD2	(11R,15S)-12,13-seco-12,14-dioxo-8R-hydroxy-5Z,9E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100032	8-iso-LGD2	(11S,15R)-12,13-seco-12,14-dioxo-8S-hydroxy-5Z,9E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100033	5-epi-5-iso-LGD2	(8S,12R)-9,10-seco-9,11-dioxo-5R-hydroxy-6E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100034	ent-5-epi-5-iso-LGD2	(8R,12S)-9,10-seco-9,11-dioxo-5S-hydroxy-6E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100035	ent-5-iso-LGD2	(8R,12S)-9,10-seco-9,11-dioxo-5R-hydroxy-6E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100036	5-iso-LGD2	(8S,12R)-9,10-seco-9,11-dioxo-5S-hydroxy-6E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03110003	8-iso-PGE2	9-oxo-11R,15S-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8S,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110005	8-iso-15-keto-PGF2alpha	9S,11R-dihydroxy-15-oxo-5Z,13E-prostadienoic acid-cyclo[8S,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110007	8-iso-PGF3alpha	9S,11R,15S-trihydroxy-5Z,13E,17Z-prostatrienoic acid-cyclo[8S,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110050	ent-8-D2c-IsoP	8R,12R-dihydroxy-14-oxo-5Z,9E-prostadienoic acid-cyclo[11S,15R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110051	8-D2c-IsoP	8S,12S-dihydroxy-14-oxo-5Z,9E-prostadienoic acid-cyclo[11R,15S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110052	8-epi-8-D2c-IsoP	8R,12S-dihydroxy-14-oxo-5Z,9E-prostadienoic acid-cyclo[11R,15S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110053	ent-8-epi-8-D2c-IsoP	8S,12R-dihydroxy-14-oxo-5Z,9E-prostadienoic acid-cyclo[11S,15R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110054	ent-8-epi-8-D2t-IsoP	8S,12R-dihydroxy-14-oxo-5Z,9E-prostadienoic acid-cyclo[11R,15S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110055	ent-8-D2t-IsoP	8R,12R-dihydroxy-14-oxo-5Z,9E-prostadienoic acid-cyclo[11R,15S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110056	8-epi-8-D2t-IsoP 	8R,12S-dihydroxy-14-oxo-5Z,9E-prostadienoic acid-cyclo[11S,15R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110057	8-D2t-IsoP	8S,12S-dihydroxy-14-oxo-5Z,9E-prostadienoic acid-cyclo[11S,15R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110064	ent-5-D2c-IsoP	5R,9R-dihydroxy-11-oxo-6E,14Z-prostadienoic acid-cyclo[8S,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110065	5-D2c-IsoP	5S,9S-dihydroxy-11-oxo-6E,14Z-prostadienoic acid-cyclo[8R,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110066	5-epi-5-D2c-IsoP	5R,9S-dihydroxy-11-oxo-6E,14Z-prostadienoic acid-cyclo[8R,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110067	ent-5-epi-5-D2c-IsoP	5S,9R-dihydroxy-11-oxo-6E,14Z-prostadienoic acid-cyclo[8S,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110068	ent-5-epi-5-D2t-IsoP	5S,9R-dihydroxy-11-oxo-6E,14Z-prostadienoic acid-cyclo[8R,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110069	5-epi-5-D2t-IsoP	5R,9S-dihydroxy-11-oxo-6E,14Z-prostadienoic acid-cyclo[8S,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110070	5-D2t-IsoP	5S,9S-dihydroxy-11-oxo-6E,14Z-prostadienoic acid-cyclo[8S,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110077	ent-5-D2t-IsoP	5R,9R-dihydroxy-11-oxo-6E,14Z-prostadienoic acid-cyclo[8R,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110078	ent-12-D2c-IsoP	6R,12R-dihydroxy-8-oxo-10E,14Z-prostadienoic acid-cyclo[5S,9R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110079	12-D2c-IsoP	6S,12S-dihydroxy-8-oxo-10E,14Z-prostadienoic acid-cyclo[5R,9S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110080	12-epi-12-D2c-IsoP	6S,12R-dihydroxy-8-oxo-10E,14Z-prostadienoic acid-cyclo[5R,9S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110081	ent-12-epi-12-D2c-IsoP	6R,12S-dihydroxy-8-oxo-10E,14Z-prostadienoic acid-cyclo[5S,9R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110082	ent-12-epi-12-D2t-IsoP	6R,12S-dihydroxy-8-oxo-10E,14Z-prostadienoic acid-cyclo[5R,9S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110083	ent-12-D2t-IsoP	6R,12R-dihydroxy-8-oxo-10E,14Z-prostadienoic acid-cyclo[5R,9S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110084	12-epi-12-D2t-IsoP	6S,12R-dihydroxy-8-oxo-10E,14Z-prostadienoic acid-cyclo[5S,9R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110085	12-D2t-IsoP	6S,12S-dihydroxy-8-oxo-10E,14Z-prostadienoic acid-cyclo[5S,9R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110092	ent-15-D2c-IsoP	9R,15R-dihydroxy-11-oxo-5Z,13E-prostadienoic acid-cyclo[8S,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110093	15-D2c-IsoP	9S,15S-dihydroxy-11-oxo-5Z,13E-prostadienoic acid-cyclo[8R,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110094	15-epi-15-D2c-IsoP	9S,15R-dihydroxy-11-oxo-5Z,13E-prostadienoic acid-cyclo[8R,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110095	ent-15-epi-15-D2c-IsoP	9R,15S-dihydroxy-11-oxo-5Z,13E-prostadienoic acid-cyclo[8S,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110096	ent-15-epi-15-D2t-IsoP	9R,15S-dihydroxy-11-oxo-5Z,13E-prostadienoic acid-cyclo[8R,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110097	ent-15-D2t-IsoP	9R,15R-dihydroxy-11-oxo-5Z,13E-prostadienoic acid-cyclo[8R,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110098	15-epi-15-D2t-IsoP	9S,15R-dihydroxy-11-oxo-5Z,13E-prostadienoic acid-cyclo[8S,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110099	15-D2t-IsoP	9S,15S-dihydroxy-11-oxo-5Z,13E-prostadienoic acid-cyclo[8S,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110106	ent-PGE2	9-oxo-11S,15R-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8S,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110107	ent-PGD2	9R,15R-dihydroxy-11-oxo-5Z,13E-prostadienoic acid-cyclo[8S,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110115	ent-8-epi-15-E2c-IsoP	9-oxo-11S,15R-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8R,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110116	ent-15-E2t-IsoP	9-oxo-11S,15R-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8R,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110117	ent-15-E2c-IsoP	9-oxo-11S,15R-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8S,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110119	ent-8,15-diepi-15-E2c-IsoP	9-oxo-11S,15S-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8R,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110120	ent-15-epi-15-E2t-IsoP	9-oxo-11S,15S-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8R,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110121	ent-15-epi-15-E2c-IsoP	9-oxo-11S,15S-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8S,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110122	ent-8,15-diepi-15-E2t-IsoP	9-oxo-11S,15S-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8S,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110123	8,15-diepi-15-E2t-IsoP	9-oxo-11R,15R-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8R,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110124	15-epi-15-E2c-IsoP	9-oxo-11R,15R-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8R,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110125	15-epi-15-E2t-IsoP	9-oxo-11R,15R-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8S,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110126	15-E2c-IsoP	9-oxo-11R,15S-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8R,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110127	8-epi-15-E2c-IsoP	9-oxo-11R,15S-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8S,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110128	ent-8-epi-15-D2c-IsoP	11-oxo-9R,15R-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8R,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110129	ent-8,15-diepi-15-D2c-IsoP	11-oxo-9R,15S-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8R,12R]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110130	ent-8,15-diepi-15-D2t-IsoP	11-oxo-9R,15S-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8S,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110131	8,15-diepi-15-D2c-IsoP	11-oxo-9S,15R-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8S,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMFA03110132	8-epi-15-D2c-IsoP	11-oxo-9S,15S-dihydroxy-5Z,13E-prostadienoic acid-cyclo[8S,12S]	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Isoprostanes [FA0311]
LMPR0104180001	Grayanotoxin II	-	C20H32O5	352.22	Prenol Lipids [PR]	Isoprenoids [PR01]	C20 isoprenoids (diterpenes) [PR0104]
LMPR0104180002	Isograyanotoxin II	-	C20H32O5	352.22	Prenol Lipids [PR]	Isoprenoids [PR01]	C20 isoprenoids (diterpenes) [PR0104]
